ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
1147,SS,Ali,bin Nawaf,GLE,GLE,OTL,MLB,05/06/1990,26,USA,6' 1',200 lbs,R,R,9,80,80,N,N,H,N,N,N,Normal,Durable,-,-,70,75,55,55,65,55,80,80,60,70,75,70,75,65,55,50,65,50,75,70,55,55,65,55,30,20,Line Drive,Normal,Normal,20,35,20,35,30,20,35,20,35,30,20,35,20,35,30,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,3/4,Normal,20,20,20,20,20,70,60,70,70,55,60,70,70,-,-,-,45,-,70,-,-,-,70,80,-,75,75,70,70,65,40,60,35,45,50,55,$10 000 000,1,$10 000 000,1,6,1064,6,1182,6,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
3182,CF,Bobby,Bonebrake,SA,SA,OTL,MLB,06/24/1994,22,USA,6' 1',185 lbs,S,R,3,47,80,N,H,H,L,H,N,Normal,Normal,-,-,50,50,50,55,50,55,45,45,50,50,45,50,50,50,55,55,55,55,55,60,65,70,60,65,65,65,Line Drive,Normal,Normal,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,3/4,GB'er,20,20,20,25,20,55,45,45,50,60,55,60,45,-,-,-,-,-,-,60,45,40,45,80,-,65,50,40,40,65,45,60,60,60,60,65,$530 000,1 (auto.),$530 000,1,1,185,1,240,1,Yes,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
1131,SP,Jesse,Brinkley,GLE,GLE,OTL,MLB,05/08/1991,25,USA,6' 6',230 lbs,R,R,6,80,80,N,N,N,L,H,H,Fan Fav,Normal,-,-,35,30,35,35,40,40,30,35,35,35,40,40,30,35,35,35,40,40,30,35,35,35,40,40,55,25,Flyball,Normal,Normal,65,65,65,55,70,60,60,65,55,70,65,65,65,60,70,65,65,65,55,70,-,-,65,65,75,75,70,70,70,70,70,70,-,-,-,-,-,-,-,-,-,-,-,-,5,EX GB,95-97,3/4,GB'er,65,35,25,20,25,35,40,55,35,40,60,30,60,60,-,-,-,-,-,-,-,-,60,60,-,55,25,30,-,35,-,25,20,20,20,20,$8 500 000,1 (arbitr.),$8 500 000,1,5,886,5,886,6,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
2164,1B,Jimmy,Hamilton,MES,MES,OTL,MLB,11/07/1994,21,USA,6' 2',220 lbs,R,R,5,49,80,N,N,H,L,H,N,Sparkplug,Normal,-,-,50,55,50,55,55,45,55,55,50,60,60,50,55,50,50,55,50,45,60,55,50,70,60,50,50,20,Line Drive,Spray,Spray,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,SIDE,Normal,20,20,20,20,20,40,35,45,25,30,25,35,50,-,-,50,-,-,-,-,-,-,50,60,-,50,-,25,-,-,-,-,25,25,25,20,$530 000,1 (auto.),$530 000,1,2,373,2,409,3,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
4011,LF,Matthew,Harrell,MIL,MIL,OTL,MLB,08/31/1991,25,USA,6' 3',205 lbs,L,L,6,46,80,N,N,L,N,L,L,Unmotivated,Durable,-,-,50,50,50,50,50,45,50,45,50,50,50,45,50,50,50,55,50,50,80,70,60,70,60,55,20,25,Line Drive,Normal,Normal,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,OTT,Normal,20,20,20,20,20,25,20,40,20,55,60,55,60,-,-,-,-,-,-,60,-,60,65,30,-,25,-,-,-,65,45,60,50,45,55,40,$7 000 000,1 (arbitr.),$7 000 000,1,5,905,6,1177,7,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
719,C,Chad,Irlmeier,LA,LA,OTL,MLB,09/08/1987,29,USA,6' 4',235 lbs,R,R,12,80,80,N,N,N,L,N,L,Normal,Iron Man,-,-,45,55,55,75,80,35,55,45,60,80,80,35,55,40,55,70,75,35,55,45,55,75,80,35,45,20,Flyball,Normal,Spray,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,3/4,Normal,20,20,50,50,60,35,30,55,30,25,35,50,50,-,50,-,-,-,-,-,-,-,50,55,50,45,-,25,-,-,-,-,20,20,20,20,$29 200 000,6,$206 200 000,6,9,1598,10,1824,11,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
494,LF,Damason,Martinez,OC,OC,OTL,MLB,01/15/1992,24,USA,6' 1',200 lbs,L,L,6,80,80,L,L,H,H,N,L,Selfish,Normal,-,-,70,75,50,55,50,65,70,70,50,50,45,55,75,75,50,55,50,65,75,70,50,55,50,65,40,25,Line Drive,Normal,Normal,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,3/4,Normal,20,20,20,20,25,35,35,50,20,55,65,60,65,-,-,40,-,-,-,65,35,60,65,55,-,45,-,-,-,65,45,60,40,45,55,40,$6 000 000,2,$16 500 000,2,4,726,5,934,5,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
1414,SP,Jose,Martinez,POR,POR,OTL,MLB,07/27/1994,22,DOM,6' 7',225 lbs,R,R,4,77,80,N,N,N,N,N,N,Normal,Fragile,-,-,30,30,35,25,40,35,30,30,35,25,40,35,30,30,35,25,40,35,30,30,35,25,40,35,80,20,Normal,Normal,Spray,75,60,55,60,60,65,55,55,55,55,80,65,60,60,65,75,60,55,60,60,-,-,45,45,-,-,75,75,-,-,70,70,80,80,-,-,-,-,-,-,-,-,-,-,4,NEU,94-96,SIDE,Normal,65,40,20,20,20,35,30,45,30,55,35,40,50,50,-,-,-,-,-,-,-,-,50,50,-,50,-,-,-,55,35,45,20,20,20,20,$530 000,1 (auto.),$530 000,1,2,358,2,369,2,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
3102,SP,Mike,Murdoch,COL,COL,OTL,MLB,02/03/1993,23,USA,6' 2',205 lbs,L,L,5,49,80,N,N,H,L,N,H,Normal,Normal,-,-,40,45,35,20,35,40,40,40,35,20,35,35,45,40,35,20,35,40,45,45,35,20,40,45,65,25,Groundball,Normal,Spray,50,55,50,55,55,55,60,50,60,60,50,55,50,55,55,65,60,70,55,65,55,60,65,75,-,-,-,-,60,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,GB,93-95,OTT,GB'er,65,80,20,20,20,45,30,45,20,25,35,35,65,65,-,-,-,-,-,-,-,-,65,65,-,55,-,-,-,-,-,-,30,25,20,30,$530 000,1 (arbitr.),$530 000,1,3,551,3,625,3,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
993,SP,Curtis,Ora,IND,IND,OTL,MLB,08/01/1986,30,USA,6' 4',220 lbs,L,L,12,80,80,N,N,L,N,N,H,Normal,Normal,-,-,45,50,35,30,35,45,45,45,35,30,35,45,50,45,35,30,35,45,50,45,35,30,35,45,45,20,Groundball,Normal,Normal,65,65,65,55,70,70,65,65,60,75,65,65,65,55,70,65,65,65,55,70,65,65,60,60,-,-,70,70,70,70,-,-,70,70,-,-,-,-,-,-,-,-,-,-,5,GB,95-97,OTT,Power,65,50,20,20,20,30,30,50,20,25,40,30,45,45,-,-,-,-,-,-,-,-,45,45,-,40,-,-,-,-,-,-,20,25,20,30,$27 200 000,4,$111 600 000,4,10,1769,11,2005,11,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
