ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
1147,SS,Ali,bin Nawaf,GLE,GLE,OTL,MLB,05/06/1990,26,USA,6' 1',200 lbs,R,R,9,5.0 Stars,5.0 Stars,N,N,H,N,N,N,Normal,Durable,-,-,9,10,6,7,8,7,10,10,7,9,10,8,9,8,6,6,8,6,10,9,6,7,8,7,2,1,Line Drive,Normal,Normal,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,3/4,Normal,1,1,1,1,1,9,7,9,9,6,7,9,8,-,-,-,4,-,8,-,-,-,8,10,-,10,10,9,8,8,4,7,3,4,6,6,$10 000 000,1,$10 000 000,1,6,1064,6,1182,6,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
3182,CF,Bobby,Bonebrake,SA,SA,OTL,MLB,06/24/1994,22,USA,6' 1',185 lbs,S,R,3,2.5 Stars,5.0 Stars,N,H,H,L,H,N,Normal,Normal,-,-,5,5,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,8,8,9,7,8,8,8,Line Drive,Normal,Normal,1,2,1,3,2,1,2,1,3,2,1,2,1,3,2,1,3,1,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,3/4,GB'er,1,1,1,1,1,6,5,5,5,7,6,7,5,-,-,-,-,-,-,7,5,4,5,10,-,8,5,4,4,8,5,7,7,7,7,8,$530 000,1 (auto.),$530 000,1,1,185,1,240,1,Yes,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
1131,SP,Jesse,Brinkley,GLE,GLE,OTL,MLB,05/08/1991,25,USA,6' 6',230 lbs,R,R,6,5.0 Stars,5.0 Stars,N,N,N,L,H,H,Fan Fav,Normal,-,-,3,2,3,3,4,4,2,3,3,3,4,4,2,3,3,3,4,3,2,3,3,3,4,4,6,1,Flyball,Normal,Normal,8,8,8,7,9,7,8,8,6,9,8,8,8,7,9,8,8,8,7,9,-,-,8,8,9,9,9,9,9,9,9,9,-,-,-,-,-,-,-,-,-,-,-,-,5,EX GB,95-97,3/4,GB'er,8,3,1,1,1,3,4,6,3,4,7,2,7,7,-,-,-,-,-,-,-,-,7,7,-,6,1,2,-,3,-,1,1,1,1,1,$8 500 000,1 (arbitr.),$8 500 000,1,5,886,5,886,6,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
1436,RF,Danny,Campos,POR,POR,OTL,MLB,10/15/1985,30,VEN,6' 3',215 lbs,R,R,13,5.0 Stars,5.0 Stars,N,H,H,L,H,N,Fan Fav,Fragile,-,-,7,6,7,8,7,7,7,7,7,9,7,8,6,7,7,8,7,7,6,7,7,8,7,7,1,1,Normal,Normal,Normal,1,3,1,3,2,1,3,1,3,2,1,3,1,3,2,1,3,1,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,3/4,Normal,1,1,1,1,1,2,2,6,1,7,6,7,7,-,-,-,-,-,-,3,2,7,7,4,-,3,-,-,-,8,4,7,4,2,1,2,$23 800 000,3,$73 000 000,3,11,1923,11,1923,11,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
2164,1B,Jimmy,Hamilton,MES,MES,OTL,MLB,11/07/1994,21,USA,6' 2',220 lbs,R,R,5,2.5 Stars,5.0 Stars,N,N,H,L,H,N,Sparkplug,Normal,-,-,6,6,5,6,6,5,7,6,6,7,7,5,6,5,5,6,6,5,7,7,6,9,7,5,5,1,Line Drive,Spray,Spray,1,2,1,3,2,1,2,1,3,2,1,2,1,3,2,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,SIDE,Normal,1,1,1,1,1,4,3,5,2,2,1,3,6,-,-,6,-,-,-,-,-,-,6,7,-,6,-,1,-,-,-,-,1,1,1,1,$530 000,1 (auto.),$530 000,1,2,373,2,409,3,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
4011,LF,Matthew,Harrell,MIL,MIL,OTL,MLB,08/31/1991,25,USA,6' 3',205 lbs,L,L,6,2.5 Stars,5.0 Stars,N,N,L,N,L,L,Unmotivated,Durable,-,-,5,5,6,6,5,5,5,5,5,5,5,5,6,5,6,6,6,5,10,9,7,9,7,6,1,1,Line Drive,Normal,Normal,1,3,1,3,2,1,3,1,3,2,1,3,1,3,2,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,OTT,Normal,1,1,1,1,1,1,1,4,1,7,7,7,7,-,-,-,-,-,-,7,-,7,8,2,-,2,-,-,-,8,4,7,6,5,6,4,$7 000 000,1 (arbitr.),$7 000 000,1,5,905,6,1177,7,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
719,C,Chad,Irlmeier,LA,LA,OTL,MLB,09/08/1987,29,USA,6' 4',235 lbs,R,R,12,5.0 Stars,5.0 Stars,N,N,N,L,N,L,Normal,Iron Man,-,-,4,6,7,9,10,3,7,4,7,10,10,3,6,4,6,9,10,3,6,4,7,9,10,3,5,1,Flyball,Normal,Spray,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,3/4,Normal,1,1,6,6,8,3,3,6,2,1,3,6,6,-,6,-,-,-,-,-,-,-,6,6,6,5,-,2,-,-,-,-,1,1,1,1,$29 200 000,6,$206 200 000,6,9,1598,10,1824,11,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
70,CF,Matt,Jetton,BRO,BRO,OTL,MLB,09/28/1988,27,USA,6' 4',210 lbs,R,R,9,5.0 Stars,5.0 Stars,H,N,N,N,N,N,Captain,Normal,-,-,5,7,9,8,9,4,7,6,9,8,10,5,7,5,9,8,9,4,7,5,9,8,9,4,5,5,Line Drive,Normal,Normal,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,3/4,Normal,1,1,1,1,1,3,3,6,2,8,7,6,7,-,-,5,-,-,-,7,7,8,7,7,-,6,-,2,-,10,7,9,8,8,9,8,$26 000 000,6,$159 000 000,6,7,1243,7,1243,7,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
1473,1B,Mike,Keehn,HON,HON,OTL,MLB,05/05/1980,36,USA,6' 2',235 lbs,R,R,18,5.0 Stars,5.0 Stars,H,N,H,N,N,H,Normal,Normal,-,-,9,8,6,7,6,8,9,9,6,7,6,8,8,9,6,7,6,8,8,9,6,7,6,8,5,1,Line Drive,Normal,Normal,1,3,1,3,2,1,3,1,3,2,1,3,1,3,2,1,3,1,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,OTT,Normal,1,1,1,1,1,2,4,5,2,4,3,2,5,-,-,5,-,-,-,-,-,-,5,7,-,5,-,1,-,3,-,1,2,2,1,1,$26 000 000,4,$114 000 000,4,16,2802,16,2802,17,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
494,LF,Damason,Martinez,OC,OC,OTL,MLB,01/15/1992,24,USA,6' 1',200 lbs,L,L,6,5.0 Stars,5.0 Stars,L,L,H,H,N,L,Selfish,Normal,-,-,9,9,5,6,5,8,9,9,5,5,5,7,10,9,5,7,5,8,9,9,5,6,5,8,4,1,Line Drive,Normal,Normal,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,1,3,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,3/4,Normal,1,1,1,1,1,3,3,5,1,7,8,7,8,-,-,4,-,-,-,8,3,7,8,7,-,5,-,-,-,8,4,7,4,5,7,4,$6 000 000,2,$16 500 000,2,4,726,5,934,5,No,,Sep. 27th   2016,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
