ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
6859,RP,Jason,Acevedo,NY,NY,OTL,MLB,06/01/1984,33,USA,6' 2',210 lbs,R,R,14,,,H,N,N,L,N,N,Normal,Normal,-,-,35,30,35,30,40,35,30,35,35,30,40,35,30,35,35,30,40,35,30,35,35,30,40,35,5,1,Normal,Normal,Normal,55,50,40,45,50,50,45,35,45,50,65,50,40,50,55,55,50,40,45,50,55,55,-,-,-,-,55,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,NEU,91-93,3/4,Normal,2,1,1,1,1,3,2,5,1,3,4,1,5,5,-,-,-,-,-,-,-,-,5,5,-,4,-,-,-,2,-,-,1,1,1,2,$530 000,1,$530 000,1,12,2098,12,2168,13,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6642,RF,Marc,Adkison,MEM,MEM,OTL,MLB,01/09/1989,28,USA,6' 2',240 lbs,R,R,12,,,N,N,N,N,N,N,Normal,Normal,-,-,50,50,45,35,45,50,50,50,45,35,45,50,50,50,45,35,45,50,50,50,45,35,45,50,6,1,Groundball,Pull,Pull,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,20,35,25,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,OTT,Normal,1,1,1,1,1,2,4,3,3,4,7,5,4,-,-,-,-,-,-,5,-,4,4,6,-,4,-,-,-,5,-,4,2,1,1,1,$530 000,1,$530 000,1,9,1591,9,1591,10,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7072,C,Oscar,Aguilar,GLE,GLE,OTL,MLB,07/28/1982,35,USA,6' 3',235 lbs,R,R,18,,,N,N,L,N,H,L,Normal,Normal,-,-,60,60,50,55,55,55,60,65,50,55,60,65,60,60,50,50,55,55,60,60,50,55,55,55,5,1,Line Drive,Pull,Spray,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,3/4,Normal,1,1,5,5,5,3,3,4,1,1,4,4,4,-,4,-,-,-,-,-,-,-,4,6,4,5,-,-,-,-,-,-,2,4,4,5,$530 000,1,$530 000,1,15,2607,16,2881,16,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7093,RP,Jaime,Aguilera,FRE,FRE,OTL,MLB,04/11/1989,28,USA,6' 2',200 lbs,L,L,9,,,L,H,N,N,N,N,Normal,Normal,-,-,40,35,35,30,40,40,35,35,35,30,40,40,35,40,35,30,40,40,35,40,35,30,40,40,3,1,Normal,Normal,Normal,40,45,25,45,50,40,45,25,45,50,40,45,25,45,50,40,45,25,45,50,45,45,-,-,35,35,-,-,-,-,45,45,45,45,-,-,-,-,-,-,-,-,-,-,4,FB,89-91,OTT,Normal,3,7,1,1,1,3,3,8,1,1,4,3,7,7,-,-,-,-,-,-,-,-,7,7,-,4,-,-,-,-,-,-,1,1,1,2,$530 000,1,$530 000,1,8,1393,8,1393,9,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6954,RF,Josh,Albin,CHA,CHA,OTL,MLB,06/10/1985,32,USA,6' 4',225 lbs,R,R,15,,,N,N,N,N,N,N,Prankster,Normal,-,-,55,55,60,60,60,55,55,60,60,65,60,55,55,55,60,60,60,55,55,55,60,60,60,55,2,1,Line Drive,Pull,Spray,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,3/4,Normal,1,1,1,1,1,2,2,4,2,6,6,6,6,-,-,-,-,-,-,4,-,6,6,5,-,4,-,-,-,7,3,6,2,3,2,3,$530 000,1,$530 000,1,12,2106,12,2106,12,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6472,CL,David,Alcon,BRO,BRO,OTL,MLB,09/25/1985,32,USA,6' 1',210 lbs,R,R,13,,,N,L,H,H,H,N,Normal,Durable,-,-,35,35,35,25,40,40,35,40,40,25,40,40,35,35,35,25,40,40,35,35,35,25,40,40,7,1,Normal,Normal,Normal,80,55,65,55,55,80,55,65,55,55,80,55,65,55,55,80,55,65,55,55,80,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,75,-,-,-,-,-,-,2,NEU,97-99,3/4,Power,3,7,1,1,1,3,1,9,1,1,3,3,6,6,-,-,-,-,-,-,-,-,6,6,-,3,-,-,-,-,-,-,2,2,1,1,$530 000,1,$530 000,1,12,2096,13,2236,14,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6648,RP,Jeff,Alderman,TUL,TUL,OTL,MLB,01/29/1989,28,USA,6' 2',205 lbs,R,R,9,,,N,N,N,N,N,N,Normal,Normal,-,-,40,40,35,20,40,40,40,40,35,20,45,45,40,40,35,20,40,40,40,40,35,20,40,40,4,1,Normal,Normal,Normal,50,40,35,50,30,50,40,35,50,30,50,40,35,50,30,50,40,35,50,30,50,50,55,55,-,-,-,-,-,-,-,-,55,55,-,-,-,-,-,-,-,-,-,-,3,EX FB,90-92,3/4,Normal,3,7,1,1,1,2,3,5,1,5,4,2,6,6,-,-,-,-,-,-,-,-,6,6,-,4,-,-,-,4,-,2,2,1,1,3,$530 000,1,$530 000,1,7,1239,9,1574,9,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7006,C,Juan,Alvarado,IND,IND,OTL,MLB,02/25/1990,27,USA,6' 1',225 lbs,R,R,10,,,N,N,N,L,H,N,Humble,Normal,-,-,40,35,40,40,45,45,35,40,40,40,45,50,35,40,40,40,45,45,35,40,40,40,45,45,5,1,Normal,Spray,Normal,20,35,20,35,30,20,35,20,35,30,20,35,20,35,30,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,84-86,3/4,GB'er,1,1,3,3,5,3,2,4,4,1,2,4,2,-,2,-,-,-,-,-,-,-,2,5,2,4,-,-,-,-,-,-,2,3,4,4,$530 000,1,$530 000,1,7,1212,8,1413,9,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7113,SP,Aaron,Anderson,REN,REN,OTL,MLB,11/07/1985,31,USA,6' 1',205 lbs,L,L,13,,,L,L,N,N,N,N,Normal,Normal,-,-,35,35,35,30,45,40,35,35,35,30,45,35,35,35,40,30,50,40,35,35,35,30,45,40,6,2,Normal,Spray,Normal,45,50,55,50,55,45,55,55,50,60,45,50,55,50,55,45,50,55,50,55,45,45,60,60,-,-,40,40,50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,89-91,3/4,Normal,7,6,1,1,1,2,1,7,1,1,2,6,4,4,-,-,-,-,-,-,-,-,4,4,-,3,-,-,-,-,-,-,1,1,1,1,$530 000,1,$530 000,1,12,2085,13,2350,13,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6731,SP,Branden,Anderson,MES,MES,OTL,MLB,06/29/1991,26,USA,6' 0',190 lbs,S,R,8,,,N,H,L,N,N,N,Normal,Normal,-,-,35,30,35,30,35,35,30,35,35,30,35,35,30,35,35,30,35,40,30,35,35,30,35,35,4,1,Flyball,Spray,Pull,45,50,50,50,55,45,50,50,50,55,50,55,50,50,60,45,50,50,50,55,50,50,-,-,-,-,-,-,55,55,-,-,55,55,-,-,-,-,-,-,-,-,-,-,3,NEU,91-93,3/4,Normal,5,6,1,1,1,3,2,4,5,6,3,6,5,5,-,-,-,-,-,-,-,-,5,5,-,4,-,-,-,7,3,5,1,1,1,3,$530 000,1 (arbitr.),$530 000,1,5,895,7,1206,7,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6588,1B,Bryant,Anderson,MIL,MIL,OTL,MLB,07/15/1985,32,USA,6' 1',210 lbs,R,R,14,,,N,H,N,N,H,N,Normal,Normal,-,-,45,45,45,50,40,45,45,45,45,50,40,50,45,45,45,50,40,45,45,45,45,50,40,45,6,1,Normal,Spray,Normal,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,80-83,3/4,GB'er,1,1,1,1,1,7,4,8,5,1,4,4,8,-,-,8,5,5,3,-,-,-,8,10,-,8,5,5,4,-,-,-,2,2,3,1,$530 000,1,$530 000,1,12,2111,12,2112,13,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6833,SP,Dusty,Anderson,LA,LA,OTL,MLB,09/25/1984,33,USA,6' 2',210 lbs,R,R,15,,,N,L,L,N,N,N,Normal,Iron Man,-,-,40,40,40,25,40,40,40,40,40,25,40,40,40,40,40,25,40,40,40,40,40,25,40,40,4,1,Normal,Spray,Pull,45,40,20,45,35,45,40,20,45,40,45,40,20,45,35,45,40,20,45,35,45,45,50,50,-,-,-,-,-,-,-,-,60,60,-,-,-,-,-,-,-,-,-,-,3,EX FB,92-94,3/4,Normal,4,4,1,1,1,2,1,5,3,3,3,3,4,4,-,-,-,-,-,-,-,-,4,4,-,3,-,-,-,2,-,-,1,1,1,1,$530 000,1,$530 000,1,13,2283,13,2323,14,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7051,SS,Matt,Anderson,SA,SA,OTL,MLB,02/05/1988,29,USA,6' 3',215 lbs,S,R,12,,,L,N,L,L,H,N,Humble,Normal,-,-,40,30,45,35,45,60,30,40,45,35,45,55,30,40,45,35,45,60,30,40,45,35,45,60,8,1,Flyball,Normal,Spray,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,3/4,Normal,1,1,1,1,1,8,5,5,9,3,4,10,6,-,-,-,-,-,6,-,-,-,6,10,-,10,8,5,6,4,-,4,4,4,5,5,$530 000,1,$530 000,1,9,1576,9,1576,9,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6915,RP,Josh,Andre,NN,NN,OTL,MLB,05/20/1985,32,USA,6' 2',210 lbs,R,R,15,,,N,N,N,N,N,N,Normal,Normal,-,-,40,45,40,25,45,45,45,40,40,25,45,45,45,40,40,25,45,45,45,40,40,25,45,45,7,1,Normal,Normal,Normal,50,45,20,50,45,45,45,20,45,40,55,45,20,50,45,50,45,20,50,45,50,50,-,-,-,-,45,45,-,-,-,-,-,-,-,-,-,-,-,-,60,60,-,-,3,EX FB,90-92,3/4,Normal,2,8,1,1,1,2,1,5,1,3,2,2,4,4,-,-,-,-,-,-,-,-,4,4,-,3,-,-,-,1,-,-,1,1,1,1,$530 000,1,$530 000,1,12,2101,13,2349,13,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6821,2B,Daniel,Andrews,LV,LV,OTL,MLB,09/13/1993,24,USA,6' 0',215 lbs,S,R,5,,,H,N,N,L,N,N,Humble,Normal,-,-,45,35,45,25,50,60,35,45,45,25,50,60,35,45,45,25,50,60,35,45,45,25,50,60,6,6,Normal,Spray,Pull,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,85-87,OTT,GB'er,1,1,1,1,1,4,4,1,4,3,4,1,2,-,-,-,2,-,-,-,-,-,2,7,-,6,2,-,-,1,-,-,5,4,5,3,$530 000,1 (arbitr.),$530 000,1,3,563,3,572,4,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6826,SP,Jody,Anglin,LA,LA,OTL,MLB,04/28/1990,27,USA,6' 0',200 lbs,R,R,8,,,N,N,N,H,N,N,Normal,Durable,-,-,45,45,40,40,35,45,45,45,40,40,35,45,45,45,40,40,35,45,45,45,40,40,35,45,8,1,Normal,Normal,Normal,45,50,35,45,50,45,50,35,45,50,50,50,35,50,50,45,50,35,45,50,45,45,-,-,-,-,-,-,55,55,60,60,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,89-91,3/4,Normal,8,2,1,1,1,2,3,4,2,4,4,1,6,6,-,-,-,-,-,-,-,-,6,6,-,4,-,-,-,3,-,-,1,1,1,2,$530 000,1,$530 000,1,7,1230,7,1230,8,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6856,RP,Carlos,Anzo,NY,NY,OTL,MLB,12/13/1987,29,USA,5' 11',200 lbs,S,R,11,,,L,N,L,L,L,N,Normal,Normal,-,-,40,40,30,20,45,40,40,40,35,20,45,45,40,40,30,20,40,40,40,40,30,20,45,40,2,1,Groundball,Spray,Normal,45,40,20,45,40,45,40,20,45,35,50,45,20,50,40,45,40,20,45,40,50,50,45,45,-,-,-,-,-,-,-,-,50,50,-,-,-,-,-,-,-,-,-,-,3,EX FB,92-94,SIDE,Normal,4,6,1,1,1,3,3,5,1,3,5,5,7,7,-,-,-,-,-,-,-,-,7,7,-,4,-,1,-,3,-,2,1,2,2,3,$530 000,1,$530 000,1,9,1596,9,1670,10,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7244,SP,Rich,Arnold,HON,HON,OTL,MLB,07/19/1988,29,USA,5' 10',190 lbs,R,R,11,,,N,N,N,N,N,N,Normal,Normal,-,-,30,25,35,35,40,35,25,30,35,35,40,35,25,30,35,35,40,35,25,30,35,35,40,35,10,1,Flyball,Normal,Spray,65,45,55,55,40,70,45,55,55,40,65,45,55,50,40,65,45,55,55,40,-,-,60,60,70,70,-,-,-,-,70,70,75,75,-,-,-,-,-,-,-,-,-,-,4,NEU,94-96,OTT,Normal,8,3,1,1,1,3,2,6,3,5,4,2,6,6,-,-,-,-,-,-,-,-,6,6,-,4,-,2,-,5,1,2,1,1,1,3,$530 000,1,$530 000,1,9,1591,9,1591,9,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6956,RP,Brian,Athey,CLE,CLE,OTL,MLB,04/03/1984,33,USA,5' 10',190 lbs,S,R,14,,,N,N,H,N,N,N,Normal,Normal,-,-,40,40,35,30,35,40,40,40,35,30,35,40,40,40,35,30,35,40,40,40,35,30,35,40,3,2,Normal,Normal,Pull,35,50,50,45,50,30,45,50,45,50,35,50,50,45,55,35,50,50,45,50,35,35,45,45,-,-,30,30,40,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,84-86,3/4,Normal,7,8,1,1,1,3,1,9,1,5,4,1,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,4,1,2,2,1,1,3,$530 000,1,$530 000,1,13,2244,13,2244,14,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
6600,SP,Chris,Atkinson,NO,NO,OTL,MLB,08/19/1983,34,USA,6' 0',200 lbs,L,L,15,,,N,N,H,N,H,N,Sparkplug,Normal,-,-,40,40,35,25,35,40,35,40,35,25,35,40,40,40,35,25,35,40,40,40,35,25,35,40,5,1,Normal,Normal,Spray,55,55,45,50,60,55,55,45,50,60,55,55,45,50,60,55,55,45,50,60,55,55,65,65,-,-,-,-,60,60,-,-,55,55,-,-,-,-,-,-,-,-,-,-,4,NEU,92-94,OTT,Normal,4,6,1,1,1,3,2,6,1,2,3,1,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,1,-,-,1,1,1,1,$530 000,1,$530 000,1,14,2409,14,2432,15,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7181,SS,Chris,Aversa,SJ,SJ,OTL,MLB,12/05/1992,24,USA,6' 0',205 lbs,L,R,5,,,L,L,L,N,L,L,Normal,Normal,-,-,45,40,40,35,45,50,40,40,40,35,40,45,40,45,40,35,45,50,40,45,40,35,45,50,3,1,Normal,Normal,Normal,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,85-87,3/4,Normal,1,1,1,1,1,8,4,3,4,3,2,3,3,-,-,-,-,-,3,-,-,-,3,10,-,7,6,2,3,1,-,-,3,2,1,5,$530 000,1 (arbitr.),$530 000,1,5,896,6,1176,7,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
7099,C,Jesus,Azcue,FRE,FRE,OTL,MLB,07/04/1992,25,USA,6' 0',215 lbs,R,R,7,,,N,N,L,L,L,N,Unmotivated,Normal,-,-,60,60,50,55,50,55,60,60,50,60,50,55,60,60,50,55,50,55,60,60,50,55,50,55,3,1,Line Drive,Pull,Normal,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,3/4,Normal,1,1,6,6,6,3,4,4,1,3,4,4,5,-,5,-,-,-,-,-,-,-,5,8,5,5,-,1,-,2,-,1,2,1,1,1,$530 000,1 (arbitr.),$530 000,1,4,709,5,1000,6,No,,Sep. 27th   2017,Very High,Major,None,,Official Test League,-,0,0,0,0,0,-
