ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
135844,3B,Eb,Aarsen,INT,VAN,INT,INT,06/11/2160,16,NED,6' 1',200 lbs,R,R,0,,,N,N,N,N,N,N,Unknown,Normal,-,-,30,30,25,20,30,30,30,30,25,20,30,30,30,30,25,20,30,30,45,50,40,25,50,60,7,4,Groundball,Normal,Normal,20,30,20,40,20,20,30,20,40,20,20,30,20,40,20,20,35,25,40,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,80-83,3/4,Normal,1,1,1,1,1,5,4,4,2,5,7,4,1,-,-,2,-,1,-,-,-,-,2,9,-,7,2,2,1,5,-,4,4,4,3,4,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Apr. 10th   2177,Major League,-,0,0,0,0,2177,Vancouver
138506,SP,Yasukazu,Abe,INT,CHW,INT,INT,01/17/2160,17,JPN,6' 2',170 lbs,S,R,1,,,N,N,N,N,N,N,Unknown,Normal,-,-,25,25,25,20,30,25,25,25,25,20,25,25,25,25,25,20,30,25,35,35,35,25,40,40,7,1,Normal,Normal,Spray,30,35,30,40,30,30,35,25,40,30,35,35,30,45,30,40,45,40,40,50,35,45,30,50,-,-,40,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,87-89,3/4,Normal,6,2,1,1,1,2,1,4,2,3,1,1,3,3,-,-,-,-,-,-,-,-,3,3,-,3,-,-,-,-,-,-,1,1,1,2,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Jul. 3rd   2176,Major League,-,0,0,0,0,2176,Chicago
138268,SP,Vincente,Abrantes,INT,NYM,INT,INT,07/14/2159,17,VEN,6' 6',195 lbs,R,R,2,,,N,N,L,N,N,N,Unknown,Normal,-,-,20,20,25,25,25,25,20,20,25,25,25,25,20,20,25,25,25,25,25,30,35,35,35,35,4,1,Flyball,Normal,Normal,30,35,25,45,30,30,35,25,45,30,30,35,25,45,30,35,40,25,45,40,40,45,35,40,35,40,40,40,35,35,35,40,-,-,-,-,-,-,-,-,-,-,-,-,6,NEU,91-93,3/4,Normal,2,7,1,1,1,2,1,3,2,6,2,1,3,3,-,-,-,-,-,-,-,-,3,3,-,3,-,-,-,5,2,2,3,2,3,5,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Aug. 25th   2175,Major League,-,0,0,0,0,2175,New York
137586,SP,Alejandro,Abru,INT,SA,INT,INT,04/28/2160,17,MEX,6' 0',170 lbs,R,R,1,,,N,N,N,H,N,N,Unknown,Normal,-,-,25,30,25,20,25,25,30,30,25,25,25,25,30,25,25,20,25,25,40,40,35,30,40,40,5,1,Groundball,Spray,Normal,30,35,25,45,20,30,30,25,45,20,30,35,25,45,25,50,45,35,45,40,40,50,30,60,-,-,-,-,35,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,EX FB,89-91,3/4,Normal,9,3,1,1,1,2,2,5,2,1,2,2,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,-,-,-,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Dec. 19th   2176,Major League,-,0,0,0,0,2176,San Antonio
138504,3B,José,Acevedo,INT,MIA,INT,INT,04/19/2160,17,CUB,6' 4',190 lbs,L,R,1,,,N,N,L,N,L,N,Unknown,Normal,-,-,30,30,30,25,30,30,30,30,30,25,30,30,30,30,30,30,30,30,50,50,45,40,45,50,5,1,Groundball,Normal,Pull,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,80-83,3/4,GB'er,1,1,1,1,1,5,6,6,1,7,3,7,2,-,-,-,-,2,-,-,-,-,4,10,-,9,2,4,1,8,4,7,7,6,5,6,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Jul. 1st   2176,Major League,-,0,0,0,0,2176,Miami
130075,RF,Rafael,Adame,INT,ARI,INT,INT,05/26/2157,20,MEX,6' 2',195 lbs,L,L,4,,,N,N,L,N,N,N,Outspoken,Normal,-,-,35,35,30,30,35,35,35,35,30,25,30,35,35,35,30,30,35,35,50,55,45,40,55,55,6,1,Normal,Normal,Normal,20,30,25,40,25,20,30,25,40,25,20,30,25,40,25,20,35,25,40,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,SIDE,GB'er,1,1,1,1,1,4,3,6,1,5,4,5,2,-,-,-,-,-,-,1,-,2,4,7,-,6,-,-,-,5,-,4,3,1,2,2,-,1 (auto.),-,1,0,0,0,0,3,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Sep. 30th   2173,Major League,-,0,0,0,0,2173,Arizona
137678,SP,Abdullah,Adofo,INT,COL,INT,INT,05/29/2160,17,RSA,5' 10',160 lbs,S,R,1,,,N,L,N,N,N,H,Unknown,Normal,-,-,20,20,25,25,25,25,20,20,25,20,25,25,20,20,25,25,25,25,30,35,35,30,35,40,5,1,Normal,Normal,Pull,30,35,25,40,30,30,35,25,40,30,30,35,25,40,25,40,45,35,40,50,40,45,35,50,-,-,-,-,-,-,30,40,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,88-90,OTT,Normal,3,1,1,1,1,3,2,4,1,4,2,2,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,2,-,-,1,2,1,3,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Dec. 7th   2176,Major League,-,0,0,0,0,2176,Colorado
136408,SP,Aniceto,Aflalo,INT,STL,INT,INT,05/03/2159,18,POR,6' 4',190 lbs,R,R,1,,,N,L,N,N,N,N,Unknown,Normal,-,-,20,20,25,20,25,25,20,20,25,20,25,25,20,20,25,20,25,25,30,35,35,20,35,40,5,2,Normal,Normal,Normal,35,30,25,45,20,35,30,25,45,20,35,30,25,45,20,50,30,40,45,20,45,55,30,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,45,-,-,3,EX FB,92-94,3/4,Normal,8,9,1,1,1,2,3,5,1,2,3,2,5,5,-,-,-,-,-,-,-,-,5,5,-,4,-,-,-,1,-,-,1,2,1,2,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Feb. 8th   2176,Major League,-,0,0,0,0,2176,St. Louis
138134,SP,Koin,Ageda,INT,CHW,INT,INT,04/10/2159,18,JPN,6' 0',170 lbs,R,R,2,,,N,N,N,H,N,N,Unknown,Normal,-,-,30,30,25,25,30,30,30,30,25,25,30,30,30,30,25,25,30,30,45,45,35,35,40,45,10,2,Normal,Normal,Pull,30,35,30,40,25,30,35,30,40,25,30,35,30,40,25,50,45,50,40,45,45,50,30,60,-,-,-,-,-,-,40,65,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,93-95,3/4,Normal,6,4,1,1,1,3,4,4,2,3,3,2,7,7,-,-,-,-,-,-,-,-,7,7,-,5,-,-,-,1,-,-,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Jun. 28th   2175,Major League,-,0,0,0,0,2175,Chicago
124397,C,Alejandro,Aguilar,INT,CLE,INT,INT,10/24/2157,19,CUB,6' 2',200 lbs,R,R,3,,,L,L,N,H,L,N,Unknown,Normal,-,-,30,25,30,25,30,30,25,30,30,25,30,35,25,30,30,25,30,30,35,45,40,35,45,55,6,1,Normal,Spray,Normal,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,3/4,Normal,1,1,3,6,3,3,2,2,1,2,3,4,2,-,2,-,-,-,-,-,-,-,3,5,3,4,-,-,-,1,-,-,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,2,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Mar. 4th   2174,Major League,-,0,0,0,0,2174,Cleveland
136605,LF,Fernando,Aguilar,INT,BOS,INT,INT,12/12/2159,17,PAN,6' 5',210 lbs,L,L,1,,,N,N,N,L,L,N,Unknown,Normal,-,-,30,25,30,25,30,30,25,25,30,25,30,30,25,30,30,25,30,30,30,40,40,45,55,60,7,1,Flyball,Pull,Normal,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,84-86,SIDE,Normal,1,1,1,1,1,1,2,1,1,3,4,3,1,-,-,1,-,-,-,1,-,-,3,3,-,3,-,-,-,3,-,1,2,1,1,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Jan. 24th   2176,Major League,-,0,0,0,0,2176,Boston
138285,SP,Fernando,Aguilar,INT,SEA,INT,INT,01/08/2159,18,HON,5' 10',160 lbs,R,R,2,,,N,N,L,L,N,H,Unknown,Normal,-,-,20,25,25,25,30,25,25,25,30,25,30,25,25,20,25,25,30,25,30,35,35,35,40,40,7,2,Flyball,Pull,Spray,35,40,30,45,35,30,40,30,45,35,35,40,30,50,35,50,50,60,45,60,45,55,35,60,-,-,-,-,40,45,-,-,-,-,-,-,-,-,-,-,35,55,-,-,4,NEU,92-94,OTT,Normal,8,3,1,1,1,5,2,7,2,2,2,3,8,8,-,-,-,-,-,-,-,-,8,8,-,5,-,2,-,1,-,-,2,1,1,3,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Sep. 7th   2175,Major League,-,0,0,0,0,2175,Seattle
136872,C,Francisco,Aguilar,INT,NYY,INT,INT,03/10/2159,18,VEN,5' 11',190 lbs,R,R,1,,,N,N,L,L,N,N,Unknown,Normal,-,-,30,20,25,25,30,35,20,30,30,25,30,35,20,30,25,25,30,35,30,40,40,30,40,55,5,1,Normal,Pull,Normal,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,3/4,Normal,1,1,3,6,4,1,1,4,1,2,4,5,2,-,2,-,-,-,-,-,-,-,3,3,3,2,-,-,-,1,-,-,2,2,2,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Jan. 3rd   2176,Major League,-,0,0,0,0,2176,New York
138055,SP,Miguel,Aguilar,INT,SD,INT,INT,12/05/2158,18,COL,6' 3',185 lbs,R,R,2,,,N,N,L,L,H,N,Unknown,Normal,-,-,25,20,25,25,30,30,25,25,25,25,30,30,20,25,25,25,30,30,30,35,35,35,40,40,4,1,Flyball,Normal,Spray,35,35,30,45,25,35,35,30,40,25,35,35,30,45,25,45,40,40,45,35,45,55,30,50,-,-,-,-,40,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,95-97,3/4,Power,8,1,1,1,1,2,2,5,3,3,1,3,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,1,-,-,2,1,1,1,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,May 8th   2175,Major League,-,0,0,0,0,2175,San Diego
138379,CF,Emílio,Aguilera,INT,TEX,INT,INT,03/11/2160,17,CUB,6' 1',190 lbs,S,R,1,,,N,N,L,N,L,L,Unknown,Normal,-,-,30,30,30,25,30,30,30,30,30,25,30,30,30,30,30,20,30,30,45,50,40,30,45,55,8,1,Groundball,Pull,Spray,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,3/4,Normal,1,1,1,1,1,3,2,6,4,5,6,5,1,-,-,-,-,-,-,1,1,1,1,6,-,4,-,1,-,5,1,4,6,4,3,2,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Apr. 28th   2176,Major League,-,0,0,0,0,2176,Texas
138360,LF,Vicente,Aguilera,INT,SD,INT,INT,07/29/2159,17,COL,6' 3',200 lbs,R,R,1,,,H,N,N,L,N,L,Unknown,Normal,-,-,30,30,30,25,30,30,30,30,30,25,30,30,30,30,30,25,30,30,45,45,40,35,45,50,5,2,Groundball,Normal,Normal,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,3/4,Normal,1,1,1,1,1,2,2,1,3,4,3,4,2,-,-,-,-,-,-,2,-,-,3,4,-,3,-,-,-,3,-,2,5,2,2,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Apr. 17th   2176,Major League,-,0,0,0,0,2176,San Diego
138561,CL,Jesús,Aguirre,INT,CHC,INT,INT,02/17/2160,17,MEX,6' 4',195 lbs,R,R,1,,,N,N,H,N,N,N,Unknown,Normal,-,-,30,30,25,25,25,30,30,30,25,25,25,30,30,30,25,25,25,25,50,45,40,30,35,45,7,1,Normal,Pull,Spray,35,35,30,50,25,35,35,30,50,25,35,35,30,50,25,65,45,50,50,45,45,60,35,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,FB,92-94,OTT,Normal,2,4,1,1,1,2,2,5,1,1,3,2,4,4,-,-,-,-,-,-,-,-,4,4,-,3,-,-,-,-,-,-,1,2,2,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,International FA signing,Sep. 6th   2176,Major League,-,0,0,0,0,2176,Chicago
132403,SP,Juan,Aguirre,INT,HOU,INT,INT,11/01/2159,17,VEN,6' 7',200 lbs,R,R,1,,,N,H,N,N,N,N,Unknown,Normal,-,-,25,25,25,20,30,25,25,25,25,20,30,25,25,25,25,20,30,25,30,35,35,20,40,40,5,1,Normal,Spray,Pull,35,35,30,45,25,35,35,30,45,25,35,35,30,45,25,45,40,55,45,35,40,45,30,50,-,-,-,-,35,45,40,60,-,-,-,-,-,-,30,40,-,-,-,-,5,NEU,89-91,OTT,Normal,6,7,1,1,1,2,2,4,1,4,3,3,5,5,-,-,-,-,-,-,-,-,5,5,-,4,-,-,-,3,-,2,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Oct. 8th   2176,Major League,-,0,0,0,0,2176,Houston
138311,SP,Alberto,Aldrama,INT,TBA,INT,INT,05/30/2159,18,VEN,6' 1',175 lbs,R,L,2,,,N,H,N,L,H,N,Unknown,Normal,-,-,30,30,25,25,25,30,30,30,25,25,25,30,30,30,25,25,25,30,45,45,35,30,35,45,6,1,Normal,Normal,Spray,30,35,25,40,25,30,35,30,45,25,30,35,25,40,25,40,40,35,40,40,40,45,30,45,-,-,35,45,35,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,FB,88-90,OTT,Normal,6,8,1,1,1,3,1,5,1,3,2,3,4,4,-,-,-,-,-,-,-,-,4,4,-,3,-,-,-,1,-,-,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,Scout Discovery,Sep. 21st   2175,Major League,-,0,0,0,0,2175,Tampa Bay
138195,RF,Cipriano,Alejándrez,INT,ARI,INT,INT,09/11/2158,18,PAN,6' 5',185 lbs,L,L,2,,,N,N,N,N,N,H,Unknown,Normal,-,-,35,35,35,35,35,35,30,35,35,35,35,30,35,35,35,35,35,35,50,55,65,75,45,50,5,1,Flyball,Pull,Pull,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,3/4,Normal,1,1,1,1,1,5,5,5,1,7,8,8,4,-,-,-,-,-,-,1,-,4,8,10,-,9,-,-,-,9,5,8,5,4,2,1,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,International,International FA signing,Aug. 26th   2175,Major League,-,0,0,0,0,2175,Arizona
