ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
126885,RP,MIKE,ADAMS,ROC,MIN,AAABL,AAA,09/12/2148,28,USA,6' 1',205 lbs,L,R,11,,,L,L,H,N,N,N,Normal,Iron Man,Average,-,35,40,40,20,25,35,40,35,40,20,25,35,40,35,40,20,25,35,40,35,40,25,30,35,9,1,Groundball,Spray,Normal,55,50,50,50,45,55,45,45,50,45,55,50,50,55,45,60,50,50,50,45,60,60,35,45,-,-,-,-,60,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,93-95,OTT,Normal,6,3,1,1,1,1,3,10,1,2,1,2,6,6,-,-,-,-,-,-,-,-,6,6,-,3,-,1,-,-,-,-,1,1,1,4,-,1 (arbitr.),-,1,2,371,3,621,10,No,,Jun. 1st   2177,Very High,Minor,Minor FA signing,Jan. 1st   2176,Major League,Montreal,2167,4,15,109,0,-
121967,SP,RALPH,ADAMS,DUR,TBA,AAABL,AAA,04/14/2152,25,USA,6' 2',200 lbs,L,L,10,,,N,L,N,N,N,N,Normal,Durable,Fair,-,20,20,30,20,25,25,20,20,30,20,25,25,20,20,30,20,25,25,20,20,30,20,25,25,8,1,Normal,Normal,Normal,60,55,45,55,50,60,55,45,55,50,60,55,45,55,50,60,55,45,55,55,80,80,65,65,-,-,-,-,-,-,-,-,65,70,-,-,-,-,-,-,-,-,-,-,3,NEU,97-99,3/4,Power,5,10,1,1,1,2,3,7,1,4,3,3,5,5,-,-,-,-,-,-,-,-,5,5,-,4,-,-,-,3,-,1,1,2,1,2,$1 200 000,1 (auto.),$1 200 000,1,1,298,2,405,6,No,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2171,Major League,Tampa Bay,2171,16,7,460,0,-
128553,C,STEFFEN,ADAMS,DUR,TBA,AAABL,AAA,09/25/2150,26,USA,6' 4',220 lbs,R,R,7,,,N,H,N,N,N,L,Outspoken,Durable,Great,-,50,45,45,50,45,55,45,50,45,50,45,55,45,50,45,50,45,55,50,50,45,50,45,55,5,1,Normal,Normal,Pull,20,35,20,40,30,20,35,20,40,30,20,35,20,40,30,20,35,20,40,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,OTT,Normal,1,1,9,9,6,4,4,4,3,4,2,5,8,-,8,-,-,-,-,-,-,-,8,9,8,8,2,2,-,3,-,2,1,4,4,3,$1 300 000,1 (arbitr.),$1 300 000,1,3,516,3,577,5,No,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2172,Major League,Tampa Bay,2172,12,9,340,0,-
118168,2B,DAVE,ADKINS,LHV,PHI,AAABL,AAA,08/16/2144,32,USA,5' 11',195 lbs,R,R,17,,,L,L,N,N,L,N,Normal,Durable,Average,-,40,40,40,60,60,50,40,40,40,60,60,50,40,40,40,60,60,50,40,40,40,60,60,50,5,3,Flyball,Spray,Pull,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,80-83,3/4,Normal,1,1,1,1,1,5,6,9,7,1,4,8,5,-,-,-,5,6,4,-,-,-,5,10,-,7,5,6,4,-,-,-,3,6,2,4,-,1 (arbitr.),-,1,4,814,6,1103,13,No,,Jun. 1st   2177,Very High,Minor,Minor FA signing,Jan. 1st   2176,Major League,Chicago,2163,21,17,624,0,-
135069,1B,GILBERTO,AGUILAR,PAW,BOS,AAABL,AAA,09/05/2149,27,USA,6' 6',200 lbs,L,L,12,,,N,N,H,N,N,L,Outspoken,Normal,Good,-,55,45,45,45,65,70,45,55,45,45,65,70,45,55,45,45,65,70,50,60,45,45,65,70,3,2,Normal,Normal,Normal,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,NEU,83-85,3/4,Normal,1,1,1,1,1,4,5,3,1,2,1,1,8,-,-,8,-,-,-,-,-,-,8,8,-,8,-,-,-,-,-,-,2,5,1,1,-,1 (auto.),-,1,0,0,1,172,5,No,,Jun. 1st   2177,Very High,Minor,Claimed on Waivers,Dec. 21st   2174,Major League,-,0,0,0,0,0,-
125322,3B,ÁNGEL,AGUILAR,OC,VAN,AAABL,AAA,11/18/2154,22,CUB,6' 3',180 lbs,L,R,6,,,L,N,N,H,L,N,Normal,Normal,-,-,55,55,55,50,45,50,55,50,55,50,45,45,55,55,55,50,45,50,65,60,55,55,45,50,5,1,Line Drive,Pull,Pull,20,30,25,35,25,20,30,25,35,25,20,30,25,35,25,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,85-87,3/4,Normal,1,1,1,1,1,8,8,9,7,5,5,9,9,-,-,-,7,9,7,-,-,-,9,10,-,10,8,9,7,6,2,6,5,7,6,4,-,1 (auto.),-,1,0,0,0,0,3,Yes,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2172,Major League,Vancouver,2172,3,19,80,2171,San Antonio
137164,3B,JUAN CARLOS,AGUILERA,SAC,OAK,AAABL,AAA,03/12/2151,26,COL,6' 0',205 lbs,R,R,10,,,N,N,H,N,H,N,Sparkplug,Normal,-,-,40,40,40,40,50,45,40,40,40,35,50,45,40,40,45,40,50,45,40,40,45,40,50,45,5,1,Normal,Normal,Spray,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,OTT,Normal,1,1,1,1,1,5,7,7,2,2,4,7,5,-,-,-,-,5,-,-,-,-,5,10,-,7,3,5,2,-,-,-,3,5,5,6,-,1 (auto.),-,1,0,0,0,0,0,Yes,,Jun. 1st   2177,Very High,Minor,Minor FA signing,Dec. 29th   2176,Major League,-,0,0,0,0,0,-
133604,3B,VICTOR,ALEXANDER,CLM,CLE,AAABL,AAA,03/24/2151,26,USA,6' 2',200 lbs,S,R,5,,,N,N,N,N,N,N,Normal,Normal,Good,-,45,45,50,55,45,50,45,45,50,50,45,45,45,50,50,55,45,50,50,50,50,55,45,50,1,1,Normal,Normal,Pull,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,3/4,Normal,1,1,1,1,1,4,5,8,4,4,6,6,5,-,-,7,2,5,-,2,-,3,5,9,-,7,3,5,1,5,-,4,3,2,1,2,-,1 (auto.),-,1,0,0,0,0,4,No,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2173,Major League,Cleveland,2173,14,2,397,0,-
136192,RP,MARCOS,ALFACINHA,SYR,WAS,AAABL,AAA,05/06/2153,24,VEN,6' 4',200 lbs,L,L,8,,,L,N,N,L,N,N,Normal,Normal,-,-,40,40,35,25,40,40,40,40,35,25,40,40,40,40,35,25,40,40,40,40,40,25,45,40,6,1,Normal,Normal,Normal,50,45,45,50,40,55,45,45,55,40,50,45,45,50,40,55,45,45,50,40,60,60,35,55,-,-,55,60,50,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,NEU,94-96,3/4,Normal,3,10,1,1,1,1,2,3,1,1,2,8,3,3,-,-,-,-,-,-,-,-,3,3,-,2,-,-,-,-,-,-,1,2,1,1,-,1 (auto.),-,1,0,0,0,0,7,Yes,,Jun. 1st   2177,Very High,Minor,Scout Discovery,Jun. 27th   2169,Major League,-,0,0,0,0,2169,Washington
120190,RP,DAVE,ALLEN,SAC,OAK,AAABL,AAA,05/12/2152,25,USA,6' 3',195 lbs,R,R,9,,,N,N,N,N,N,N,Normal,Fragile,Average,-,40,40,40,20,35,35,40,40,40,20,35,35,40,40,40,20,35,35,40,40,40,20,35,35,5,1,Groundball,Spray,Pull,65,55,50,55,55,65,55,50,55,55,65,55,50,55,55,65,55,50,55,55,70,70,45,45,-,-,-,-,-,-,-,-,70,70,-,-,-,-,-,-,-,-,-,-,3,NEU,95-97,OTT,Power,7,8,1,1,1,3,1,10,1,2,3,5,6,6,-,-,-,-,-,-,-,-,6,6,-,4,-,1,-,-,-,-,1,3,2,2,$650 000,1 (arbitr.),$650 000,1,2,348,3,561,6,No,,Jun. 1st   2177,Very High,Minor,Minor FA signing,Dec. 20th   2176,Major League,Pittsburgh,2171,6,15,168,0,-
