ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
131800,SP,ANDREW,BU,-,-,-,-,10/08/2154,22,USA,6' 4',200 lbs,R,R,3,,,L,H,N,N,N,N,Unknown,Normal,Great,CO Senior,35,35,30,25,30,35,35,35,30,25,30,35,35,35,30,25,30,35,45,45,35,30,35,45,2,2,Normal,Pull,Normal,40,40,35,45,35,40,40,35,45,35,40,40,35,45,35,50,45,45,45,45,45,55,35,40,-,-,45,50,-,-,-,-,45,60,-,-,-,-,-,-,-,-,-,-,4,NEU,92-94,3/4,Normal,5,9,1,1,1,3,2,8,3,4,4,3,6,6,-,-,-,-,-,-,-,-,6,6,-,4,-,1,-,3,-,2,2,1,1,1,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
131064,3B,Charles,Abbott,-,-,-,-,11/23/2158,18,USA,6' 4',200 lbs,R,R,3,,,N,N,N,N,N,N,Unknown,Durable,Average,HS Senior,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,55,65,50,55,50,65,3,1,Normal,Normal,Normal,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,SIDE,Normal,1,1,2,1,1,6,5,7,4,3,5,6,2,-,-,1,-,2,-,-,-,-,5,10,-,9,5,5,4,3,-,3,4,3,4,2,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
128446,SP,DON,ABBOTT,-,-,-,-,05/27/2156,21,USA,6' 0',160 lbs,R,R,5,,,N,N,N,N,N,N,Unknown,Normal,Great,CO Sophomore,30,30,25,25,25,30,30,30,25,25,25,30,30,30,25,25,25,30,45,45,35,30,35,45,7,1,Normal,Pull,Normal,40,35,30,45,30,40,35,30,40,30,45,40,30,45,30,50,45,40,45,50,45,60,35,45,-,-,45,60,-,-,-,-,45,55,-,-,-,-,-,-,-,-,-,-,4,NEU,94-96,SIDE,Normal,6,10,1,1,1,2,2,6,1,3,2,3,5,5,-,-,-,-,-,-,-,-,5,5,-,3,-,-,-,2,-,1,2,1,1,1,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
131989,SP,JEFFERY,ABBOTT,-,-,-,-,02/19/2159,18,USA,6' 8',200 lbs,R,R,2,,,N,N,N,L,H,N,Unknown,Normal,Average,HS Senior,25,25,25,20,25,25,25,30,25,25,25,30,25,25,25,20,25,25,40,40,35,30,40,40,10,2,Normal,Normal,Spray,35,35,20,45,25,35,35,20,45,25,35,35,20,50,30,55,45,25,45,45,45,60,35,60,-,-,-,-,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,NEU,93-95,OTT,Normal,7,10,1,1,1,3,2,6,1,3,3,2,6,6,-,-,-,-,-,-,-,-,6,6,-,5,-,1,-,1,-,-,1,1,1,1,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
135783,C,HAMDAN,ABDUL-SALAM,-,-,-,-,07/17/2158,18,AFG,6' 2',200 lbs,R,R,2,,,N,N,N,N,N,N,Unknown,Normal,-,-,25,20,25,25,30,30,20,25,25,25,30,30,20,25,25,25,30,30,30,40,40,35,50,55,6,1,Flyball,Ex. Pull,Pull,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,OTT,Normal,1,1,4,6,3,3,3,5,1,1,1,3,2,-,2,-,-,-,-,-,-,-,3,7,3,5,-,1,-,-,-,-,1,1,1,2,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Major,Scout Discovery,Feb. 11th   2175,Major League,-,0,0,0,0,2175,Chicago
128448,SS,LARRY,ABRAMS,-,-,-,-,06/18/2159,17,USA,6' 2',185 lbs,S,R,2,,,N,H,N,L,H,N,Unknown,Normal,Average,HS Junior,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,50,45,45,45,50,45,3,1,Normal,Pull,Pull,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,25,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,85-87,3/4,Normal,1,1,1,1,1,6,6,6,5,1,5,8,2,-,-,-,1,-,2,-,-,-,4,10,-,9,5,5,4,-,-,-,4,3,1,2,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
123787,RF,MANUEL,ACEVEDO,-,-,-,-,11/05/2155,21,USA,6' 0',200 lbs,R,L,6,,,N,L,N,N,H,N,Unknown,Normal,Good,CO Junior,35,35,30,20,30,35,35,35,35,20,30,35,35,35,30,20,30,35,55,65,50,25,50,70,6,4,Line Drive,Spray,Spray,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,3/4,Normal,1,1,1,1,1,2,2,8,1,6,3,10,3,-,-,-,-,-,-,1,-,3,8,6,-,3,-,-,-,8,4,8,5,4,4,4,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
134642,RF,PANCHO,ACEVEDO,-,-,-,-,07/19/2153,23,USA,6' 4',205 lbs,L,L,3,,,N,H,N,N,H,N,Unknown,Normal,Average,-,40,40,35,35,35,40,35,40,35,35,35,40,40,40,35,35,35,40,50,50,40,45,45,50,6,1,Normal,Normal,Normal,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,OTT,GB'er,1,1,1,1,1,2,3,4,1,4,3,8,3,-,-,-,-,-,-,3,-,3,4,5,-,4,-,-,-,5,-,4,1,1,1,1,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Major,None,,Major League,-,0,0,0,0,0,-
127573,SP,JOHN,ACHAVAL,-,-,-,-,11/30/2160,16,USA,6' 2',170 lbs,L,L,2,,,H,N,N,N,N,L,Unknown,Durable,Average,HS Junior,20,20,25,20,30,25,20,20,25,20,25,25,20,20,25,20,30,25,25,30,35,20,40,35,9,1,Normal,Spray,Normal,25,35,30,40,25,25,35,30,45,25,25,35,30,40,25,40,45,50,40,45,40,45,-,-,30,45,-,-,35,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,89-91,3/4,Normal,3,9,1,1,1,3,3,6,1,3,2,2,7,7,-,-,-,-,-,-,-,-,7,7,-,5,-,-,-,1,-,-,3,1,1,1,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
124405,SS,ADAM,ACKERMAN,-,-,-,-,10/04/2160,16,USA,6' 4',175 lbs,S,R,2,,,N,N,N,L,N,L,Unknown,Normal,Average,HS Junior,35,30,30,30,30,30,30,35,30,30,30,30,35,35,30,30,30,30,55,60,55,50,45,60,4,5,Normal,Normal,Spray,20,30,20,40,20,20,30,20,40,20,20,30,20,40,20,20,35,20,40,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,3/4,Normal,1,1,1,1,1,6,5,5,4,7,5,4,1,-,-,-,-,-,1,-,-,-,2,10,-,9,4,3,2,7,4,6,8,7,6,6,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
134679,C,THERON,ACOSTA,-,-,-,-,05/20/2155,22,USA,6' 2',200 lbs,R,R,5,,,N,H,N,N,N,L,Unknown,Normal,Great,CO Senior,35,35,30,30,40,30,35,35,30,35,40,30,35,35,30,30,35,30,45,45,45,50,50,45,5,1,Normal,Normal,Normal,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,84-86,3/4,Normal,1,1,5,7,5,2,5,2,1,1,1,5,2,-,2,-,-,-,-,-,-,-,5,7,5,5,-,-,-,-,-,-,1,3,2,5,Free agent,0,-,0,0,0,0,0,0,No,,Jun. 1st   2177,Very High,Amateur,None,,Major League,-,0,0,0,0,0,-
