ID,POS,First Name,Last Name,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,EXP,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,COMP,HSC,CON,BABIP,GAP,POW,EYE,K's,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,HT P,CON P,GAP P,POW P,EYE P,K P,BUN,BFH,BBT,GBT,FBT,STU,MOV,CON,PBABIP,HRR,STU vL,MOV vL,CON vL,PBABIP vL,HRR vL,STU vR,MOV vR,CON vR,PBABIP vR,HRR vR,STU P,MOV P,CON P,PBABIP P,HRR P,FB,FBP,CH,CHP,CB,CBP,SL,SLP,SI,SIP,SP,SPP,CT,CTP,FO,FOP,CC,CCP,SC,SCP,KC,KCP,KN,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,P,C,1B,2B,3B,SS,LF,CF,RF,DEF Pot,P Pot,C Pot,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,SR,STE,RUN,SLR,YL,CV,TY,MLY,MLD,SECY,SECD,PROY,ROOK,R,Sct,SctAcc,SctCat,TXN,TXNDT,DrLg,DrTm,Draft,Round,Pick,OA Pick,Disc,DiscTm
137145,CF,BURHAN,ABDUL-MAJID,QUC,STL,RL,R,07/04/2156,20,LIB,5' 11',185 lbs,R,R,4,,,N,N,H,H,H,N,Sparkplug,Normal,-,-,40,40,40,40,40,45,40,40,40,40,40,45,40,40,40,40,40,45,40,45,45,40,45,50,6,1,Normal,Pull,Pull,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,20,35,20,40,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,84-86,3/4,Normal,1,1,1,1,1,3,3,6,1,6,8,4,2,-,-,-,-,-,-,1,2,1,2,6,-,4,-,1,-,6,2,5,5,5,3,4,-,1 (auto.),-,1,0,0,0,0,3,Yes,,Jun. 1st   2177,Very High,Minor,Scout Discovery,Apr. 4th   2173,Major League,-,0,0,0,0,2173,St. Louis
137805,SS,Soshu,Abe,BLU,TOR,RL,R,04/25/2157,20,JPN,5' 11',160 lbs,R,R,3,,,N,H,N,L,N,N,Unknown,Normal,-,-,35,35,35,30,30,35,35,35,35,30,35,35,35,35,35,30,30,35,65,65,55,55,45,65,6,1,Line Drive,Pull,Spray,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,20,35,20,40,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,84-86,SIDE,Normal,1,1,1,1,1,9,4,8,7,7,3,6,3,-,-,-,4,2,3,-,2,2,6,10,-,8,8,7,6,8,5,6,7,6,5,7,-,1 (auto.),-,1,0,0,0,0,2,Yes,,Jun. 1st   2177,Very High,Minor,International FA signing,Sep. 17th   2174,Major League,-,0,0,0,0,2174,Toronto
129458,CF,RICARDO,ACCORNERO,ATEX,TEX,RL,R,02/20/2155,22,VEN,6' 1',170 lbs,R,R,6,,,L,L,H,H,H,L,Unknown,Normal,-,-,35,35,40,40,35,40,35,35,40,40,35,40,35,35,40,40,35,40,45,45,45,50,45,45,4,1,Normal,Normal,Normal,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,FB,83-85,SIDE,Normal,1,1,1,1,1,6,4,5,5,7,6,7,3,-,-,-,-,-,-,2,3,2,6,10,-,8,5,4,3,9,6,8,9,10,9,9,-,1 (auto.),-,1,0,0,0,0,2,Yes,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2172,Major League,Texas,2172,1,27,27,2171,Arizona
137450,3B,Mario,Acerido,MEM,COL,RL,R,05/11/2157,20,NCA,6' 2',190 lbs,R,R,4,,,N,N,N,L,H,N,Humble,Normal,-,-,35,30,30,30,40,30,30,35,30,30,40,35,30,35,30,30,40,30,50,45,45,45,50,45,5,1,Normal,Normal,Normal,20,30,20,35,30,20,30,20,35,30,20,30,20,35,30,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,80-83,3/4,Normal,1,1,1,1,1,4,3,4,3,3,4,6,1,-,-,-,-,1,-,-,-,-,1,7,-,5,1,1,-,3,-,2,4,4,3,5,-,1 (auto.),-,1,0,0,0,0,3,Yes,,Jun. 1st   2177,Very High,Minor,Scout Discovery,Aug. 23rd   2173,Major League,-,0,0,0,0,2173,Colorado
136962,RP,JORGE,ACEVEDO,KIN,NYM,RL,R,02/03/2156,21,CUB,6' 7',205 lbs,R,R,5,,,N,N,N,N,L,N,Normal,Normal,-,-,40,40,35,25,45,40,40,40,35,25,45,40,40,40,35,25,45,40,40,40,35,25,45,40,3,1,Groundball,Spray,Normal,40,50,35,50,50,40,45,35,45,45,40,50,35,50,50,40,50,35,50,50,45,45,40,45,-,-,40,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,FB,89-91,SIDE,Normal,5,8,1,1,1,2,1,5,2,2,1,3,4,4,-,-,-,-,-,-,-,-,4,4,-,4,-,-,-,-,-,-,1,1,1,1,-,1 (auto.),-,1,0,0,0,0,4,Yes,,Jun. 1st   2177,Very High,Minor,Minor FA signing,Sep. 14th   2173,Major League,-,0,0,0,0,2172,Seattle
134356,C,Félix,Acosta,LEX,HOU,RL,R,11/16/2156,20,CUB,5' 10',190 lbs,R,R,4,,,N,N,L,H,L,N,Normal,Normal,-,-,35,35,30,30,40,35,35,35,30,30,40,35,35,35,30,30,40,35,45,40,35,30,50,40,6,1,Groundball,Normal,Normal,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,83-85,3/4,Normal,1,1,4,7,4,2,3,7,1,1,1,4,2,-,2,-,-,-,-,-,-,-,4,7,4,4,-,2,-,-,-,-,3,3,4,1,-,1 (auto.),-,1,0,0,0,0,3,Yes,,Jun. 1st   2177,Very High,Minor,Scout Discovery,Feb. 11th   2173,Major League,-,0,0,0,0,2173,Houston
135502,LF,RAÚL,ACOSTA,AKC,KC,RL,R,08/23/2157,19,USA,6' 2',185 lbs,R,R,2,,,N,N,N,N,N,H,Unknown,Normal,Average,-,40,40,40,35,40,40,40,40,40,35,45,45,40,40,40,35,40,40,55,55,50,55,50,50,2,1,Groundball,Normal,Spray,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,NEU,83-85,3/4,Normal,1,1,1,1,1,3,3,8,1,5,7,9,3,-,-,2,-,1,-,3,1,3,7,7,-,5,-,3,-,7,3,6,2,2,1,1,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2176,Major League,Kansas City,2176,11,26,327,0,-
131531,CF,BRANDON,ADAMS,LEX,HOU,RL,R,03/01/2154,23,USA,6' 4',200 lbs,L,L,3,,,N,N,N,L,N,L,Unknown,Normal,Good,-,40,45,45,40,40,45,40,40,45,35,40,40,45,45,45,40,40,45,65,65,60,50,50,55,9,1,Line Drive,Normal,Normal,20,30,20,40,25,20,30,20,40,25,20,30,20,40,25,20,35,20,40,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,OTT,Normal,1,1,1,1,1,6,4,2,1,8,4,5,4,-,-,-,-,-,-,4,4,2,5,10,-,9,-,-,-,8,5,7,8,5,4,7,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2176,Major League,Houston,2176,9,8,249,0,-
122453,SS,JASON,ADAMS,GWAS,WAS,RL,R,10/12/2157,19,USA,6' 2',175 lbs,R,R,4,,,N,L,N,H,N,N,Unknown,Normal,Average,-,40,40,40,35,35,35,40,40,40,35,35,35,40,40,40,35,35,35,55,55,55,55,50,55,9,2,Line Drive,Normal,Pull,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,25,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,GB,83-85,3/4,GB'er,1,1,1,1,1,8,6,8,6,4,5,9,3,-,-,-,4,-,3,-,-,-,7,10,-,9,8,7,7,5,-,5,5,6,5,3,-,1 (auto.),-,1,0,0,0,0,1,Yes,,Jun. 1st   2177,Very High,Minor,Draft Pick,Jun. 10th   2176,Major League,Washington,2176,9,29,270,0,-
137899,2B,EDDO,ADRIAANSE,KIN,NYM,RL,R,03/09/2158,19,CUR,6' 1',165 lbs,R,R,3,,,N,H,L,N,N,H,Unknown,Normal,-,-,40,40,40,35,35,40,45,40,40,40,35,40,40,40,40,35,35,40,55,55,65,60,55,55,9,8,Line Drive,Pull,Spray,20,30,20,35,25,20,30,20,35,25,20,30,20,35,25,20,35,20,35,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,EX FB,80-83,3/4,Normal,1,1,1,1,1,7,7,8,7,6,5,9,-,-,-,-,-,6,6,-,-,-,8,10,-,9,8,8,6,7,3,7,9,9,5,9,-,1 (auto.),-,1,0,0,0,0,2,No,,Jun. 1st   2177,Very High,Minor,International FA signing,Nov. 11th   2174,Major League,-,0,0,0,0,2174,New York
